1006,8104
1030,8087
1052,8087
1076,8093
1099,8104
1123,8110
1145,8104
1169,8104
1192,8104
1216,8104
1239,8093
1262,8099
1286,8104
1309,8104
1332,8104
1355,8104
1379,8104
1402,8104
1425,8093
1448,8099
1472,8099
1496,8110
1521,8104
1545,8087
1567,8087
1591,8099
1614,8099
1638,8110
1660,8104
1684,8099
1708,8099
1731,8104
1754,8110
1777,8110
1801,8104
1824,8093
1850,8104
1873,8104
1897,8110
1920,8110
1944,8104
1969,8104
1992,8093
2018,8110
2042,8104
2068,8110
2093,8104
2116,8099
2141,8093
2165,8104
2190,8110
2215,8104
2239,8104
2265,8104
2289,8104
2314,8104
2339,8104
2363,8110
2386,8099
2411,8093
2435,8099
2460,8104
2485,8110
2509,8115
2535,8110
2558,8093
2583,8104
2609,8104
2633,8104
2658,8104
2682,8087
2706,8093
2732,8110
2756,8110
2781,8110
2806,8104
2830,8099
2853,8093
2879,8110
2904,8110
2929,8110
2953,8099
2976,8104
3005,8110
3027,8099
3051,8104
3075,8104
3098,8104
3123,8104
3147,8099
3172,8110
3197,8104
3222,8104
3246,8099
3270,8104
3294,8099
3318,8104
3344,8110
3368,8110
3394,8110
3418,8093
3442,8104
3468,8110
3492,8104
3517,8104
3542,8082
3565,8104
3590,8110
3615,8104
3640,8110
3664,8104
3688,8099
3712,8104
3737,8110
3762,8110
3786,8110
3812,8110
3835,8099
3860,8104
3885,8110
3909,8110
3935,8110
3958,8104
3982,8099
4006,8099
4030,8104
4055,8104
4080,8110
4105,8110
4131,8110
4154,8110
4177,8110
4202,8104
4227,8110
4251,8115
4277,8110
4300,8093
4326,8104
4350,8110
4375,8104
4401,8115
4424,8110
4449,8110
4474,8110
4499,8110
4525,8104
4549,8104
4573,8110
4597,8110
4621,8104
4645,8115
4671,8104
4695,8104
4718,8093
4744,8110
4768,8110
4794,8110
4818,8110
4843,8104
4872,8104
4995,8110
5017,8110
5041,8099
5064,8104
5088,8093
5110,8099
5134,8104
